timestamp,mean
1479754375.81,122.46880116219717
1479754676.32,122.65806546614574
1479754976.84,110.23700146961333
1479755277.35,104.43728418311871
1479755577.87,104.97632536981725
1479755878.38,110.18803143873573
1479756178.89,106.25241572482628
1479756479.4,108.00575441158691
1479756779.91,114.85024819330303
1479757080.42,116.42187872815954
1479757380.92,111.27131940880602
1479757681.43,113.68071523415222
1479757981.94,113.66315508084404
1479758282.45,112.43244075229921
1479758582.96,124.06981898051565
1479758883.47,113.82256659885913
1479759183.98,111.70681428277929
1479759485.99,116.51190168261226
1479759786.41,102.47682727361668
