timestamp,mean
1479754375.42,117.31380642361111
1479754675.94,116.320146484375
1479754976.45,126.14405779803241
1479755276.94,104.8900632957176
1479755577.47,116.35011393229166
1479755877.99,91.930815610532406
1479756178.5,121.30091796875
1479756479.01,109.06682617187499
1479756779.52,125.80300708912037
1479757080.03,148.39099211516205
1479757380.54,125.49583948206019
1479757681.05,104.31499602141204
1479757981.55,135.12212709780093
1479758282.07,110.33754123263888
1479758582.58,116.09875144675927
1479758883.09,111.70564959490741
1479759183.6,109.08160517939815
1479759485.59,96.374322916666671
1479759786.02,107.54458839699075
