timestamp,mean
1479754102.5696874,106.9991529224537
1479754143.0799356,115.63750054253472
1479754203.0798783,121.85509494357638
1479754263.0798211,123.8286033347801
1479754323.0797639,125.11911295572918
1479754383.0797067,123.76956108940972
1479754405.7899714,123.36154477719907
1479754457.8299217,124.60837709780093
1479754517.8298645,120.10885633680556
1479754577.8298073,121.17904188368055
1479754637.8297501,121.79970540364583
1479754697.8296928,122.76973777488426
1479754706.2999713,123.24629937065973
1479754758.6199214,122.33816930700232
1479754818.6198642,122.28281412760415
1479754878.619807,123.47250849971064
1479754938.6197498,122.71293981481482
1479754998.6196926,121.3971535011574
1479755006.8199713,120.22157678674768
1479755059.0599215,115.86540292245371
1479755119.0598643,112.17879973234953
1479755179.0598071,107.90673665364582
1479755239.0597498,104.37411476417824
1479755299.0596926,104.36257016782407
1479755307.3299713,101.32580747251157
1479755359.4899216,101.82097728587962
1479755419.4898643,101.3763377097801
1479755479.4898071,106.86737196180556
1479755539.4897499,104.82852376302083
1479755599.4896927,109.41213595920139
1479755607.8499713,107.92630479600695
1479755659.9299216,106.79105016637732
1479755719.9298644,107.85007215711806
1479755779.9298072,104.27662724247685
1479755839.92975,103.45822319878472
1479755899.9296927,103.63135344328703
1479755908.3599715,106.17551233362269
1479755960.3599219,113.44958459924769
1479756020.3598647,113.77697337962962
1479756080.3598075,110.10736545138889
1479756140.3597503,114.0261279296875
1479756200.3596931,111.71734772858797
1479756208.8699715,107.74317979600696
1479756260.789922,102.52517740885418
1479756320.7898648,106.43257125289352
1479756380.7898076,103.68907045717593
1479756440.7897503,98.316034252025474
1479756500.7896931,106.80365451388889
1479756509.3799715,104.53224211516203
1479756561.2199221,103.79206000434027
1479756621.2198648,105.6314623119213
1479756681.2198076,108.9767845775463
1479756741.2197504,107.83515679253472
1479756801.2196932,107.18072157118056
1479756809.8899715,109.94087149160879
1479756861.6499221,108.15384837962964
1479756921.6498649,108.49019965277778
1479756981.6498077,119.23026783130787
1479757041.6497505,111.15716037326389
1479757101.6496933,117.33248119212963
1479757110.3999715,120.8122900390625
1479757162.0799222,109.84922435619214
1479757222.079865,115.32196994357639
1479757282.0798078,110.52056297019676
1479757342.0797505,111.35804199218751
1479757402.0796933,115.31342484085647
1479757410.8999715,111.81093713831018
1479757462.779922,110.69580204716436
1479757522.7798648,111.23944751880786
1479757582.7798076,111.34611328125
1479757642.7797503,110.10130985966435
1479757702.7796931,109.83070131655093
1479757711.4099715,112.21695999710647
1479757763.2099221,111.23965422453703
1479757823.2098649,109.56942075376158
1479757883.2098076,109.49720666956019
1479757943.2097504,114.62926341869212
1479758003.2096932,116.29778193721064
1479758011.9199715,110.20790581597223
1479758064.7599211,114.1733666087963
1479758124.7598639,110.23162959346065
1479758184.7598066,109.50212547019676
1479758244.7597494,108.32408293547454
1479758304.7596922,111.70007939091434
1479758312.4299715,108.18899432146991
1479758365.1899211,107.34382577401621
1479758425.1898639,109.59344581886575
1479758485.1898067,108.21724952980324
1479758545.1897495,112.68510669849536
1479758605.1896923,115.98601725260417
1479758612.9399714,124.06103045428242
1479758665.6199212,129.30413049768518
1479758725.619864,128.17748969184026
1479758785.6198068,124.45804886429399
1479758845.6197495,119.46921205873844
1479758905.6196923,117.97915364583334
1479758913.4499714,116.39328956886574
1479758966.0499213,115.13718008535881
1479759026.0498641,111.85824905960649
1479759086.0498068,109.76421115451389
1479759146.0497496,111.94289442274305
1479759206.0496924,110.55189525462963
1479759213.9599714,110.51261302806714
1479759266.4799213,112.03127278645835
1479759326.4798641,114.73221281828704
1479759386.4798069,109.62958713107639
1479759446.4797497,107.14990234375
1479759506.4796925,110.53876501012732
1479759515.9699714,109.70260470920138
1479759568.5699213,111.63416540075232
1479759628.569864,113.64600133825232
1479759688.5698068,125.64759964554398
1479759748.5697496,129.47943142361112
1479759797.4798462,111.91436053240741
